basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3
 [0,3,9,14] 	D = 2.7450
 [0,6,17,27] 	D = 1.8422
 [0,3,14,21] 	D = 2.5494
 [0,1,7,10] 	D = 3.2592
 [0,1,10,19] 	D = 2.7605
 [0,6,9,11] 	D = 3.0649
 [0,9,18,23] 	D = 1.5988
 [0,6,11,21] 	D = 2.0150
 [0,9,11,18] 	D = 2.5226
 [0,11,18,21] 	D = 1.8957
 [0,11,21,30] 	D = 1.4978

min, max, mean, stdev:
  1.35234  4.71493  2.52383  0.81538

------------------------------------------------------------
Now computing dissonance for class ID=9 :
S =

  0  1  3  7

 [0,1,3,7] 	D = 4.3301
 [0,11,14,18] 	D = 2.1651
 [0,3,13,19] 	D = 2.3324
 [0,2,11,18] 	D = 2.7689
 [0,9,10,16] 	D = 2.6845
 [0,10,21,28] 	D = 1.7574
 [0,1,7,15] 	D = 2.8655
 [0,11,18,26] 	D = 1.6314
 [0,3,7,13] 	D = 2.8259
 [0,2,6,11] 	D = 3.2602
 [0,9,16,22] 	D = 1.6217
 [0,10,16,21] 	D = 1.8421
 [0,7,13,15] 	D = 2.3732
 [0,6,11,14] 	D = 2.4001
 [0,7,15,25] 	D = 1.5754
 [0,6,14,23] 	D = 1.7462
 [0,4,9,10] 	D = 3.3182
 [0,4,10,21] 	D = 2.3962
 [0,5,6,8] 	D = 4.0701
 [0,6,17,20] 	D = 2.2236
 [0,5,8,18] 	D = 2.6841
 [0,6,8,17] 	D = 2.8071
 [0,8,17,18] 	D = 2.7609
 [0,8,18,29] 	D = 1.8969

min, max, mean, stdev:
  1.57537  4.33009  2.51405  0.72682

Now computing dissonance for the inverse form:
S =

  0  4  6  7

 [0,4,6,7] 	D = 4.2023
 [0,8,14,15] 	D = 2.6975
 [0,6,16,19] 	D = 1.9096
 [0,2,8,15] 	D = 2.8954
 [0,6,10,13] 	D = 2.4542
 [0,10,18,25] 	D = 1.6011
