"Lower","Upper","Triadic HE","ct","pmax","triad"
530,280,1.77055528798763,7,0.315745656344121,"8/11/13"
1010,670,1.76984599171689,7,0.279329509664401,"5/9/13"
990,90,1.76884951066483,6,0.283670164953032,"9/16/17"
590,260,1.76884893465222,7,0.268507034319675,"13/18/21"
270,100,1.76859374691568,8,0.252295335215218,"12/14/15"
1150,740,1.76776150282371,7,0.251742626860924,"12/23/36"
780,980,1.76723419784245,8,0.294954014108991,"9/14/25"
470,1010,1.76717789213891,8,0.286377684469881,"3/4/7"
950,520,1.76675950372844,7,0.247913689304431,"11/19/26"
60,1200,1.76547526470614,10,0.405586262483823,"16/17/34"
560,120,1.76402712048508,7,0.314153585236998,"10/14/15"
730,630,1.76390102293785,8,0.381717297396395,"6/9/13"
870,100,1.76364827476052,8,0.317282887681095,"12/20/21"
910,1080,1.763318307769,7,0.285354882238577,"10/17/32"
130,1200,1.76299837314181,7,0.266342342391589,"13/14/28"
0,790,1.76242459495091,7,0.341528472242735,"7/7/11"
860,1070,1.76150902930469,7,0.269975882564268,"8/13/24"
1040,680,1.76123434796939,8,0.259748234377012,"11/20/30"
470,630,1.76075432326525,8,0.320533445811553,"10/13/19"
1060,230,1.76013404285277,8,0.271309989744815,"12/22/25"
580,730,1.75975507903995,7,0.29044671075468,"8/11/17"
620,1050,1.75964865264943,8,0.267128222461713,"9/13/24"
520,1040,1.7592626501845,7,0.327019192131151,"9/12/22"
900,130,1.75868108569015,7,0.256340221379875,"6/10/11"
320,660,1.75665216198429,7,0.262126260402095,"9/11/16"
110,370,1.75661847628343,7,0.349764487978635,"16/17/21"
730,190,1.75545076132695,7,0.270765965200573,"13/20/22"
1110,210,1.75490698735564,7,0.287183427088852,"8/15/17"
720,90,1.75375560373484,8,0.272958830034866,"12/18/19"
440,400,1.7530085323473,6,0.348791297296489,"14/18/23"
610,1000,1.75265704686085,7,0.299911990817106,"7/10/18"
970,650,1.75250565563791,6,0.22219655366634,"9/16/23"
520,110,1.75164410165636,8,0.318701561818774,"11/15/16"
640,280,1.75073756002463,7,0.333784645538031,"16/23/27"
940,350,1.75073613727923,6,0.290242833190028,"11/19/23"
440,1170,1.7506483543666,7,0.24370666276066,"14/18/35"
