 v___2_n_17_class_7_class10_ temp17c10.scl | Cycle of 17 fifths tempered by 1/10 of "17-tET comma"
 v___2_n_17_class_7_class10_ temp17c11.scl | Cycle of 17 fifths tempered by 1/11 of "17-tET comma"
 v___2_n_17_class_7_class10_ temp17c12.scl | Cycle of 17 fifths tempered by 1/12 of "17-tET comma"
 v___2_n_17_class_7_class10_ temp17c13.scl | Cycle of 17 fifths tempered by 1/13 of "17-tET comma"
 v___2_n_17_class_7_class10_ temp17c14.scl | Cycle of 17 fifths tempered by 1/14 of "17-tET comma"
 v___2_n_17_class_7_class10_ temp17c15.scl | Cycle of 17 fifths tempered by 1/15 of "17-tET comma"
 v___2_n_17_class_7_class10_ temp17s.scl | Cycle of 17 fifths tempered by 2 schismas. Schulter, Tuning List 10-9-98
 v___2_n_17_class_8_class_9_ vries35-72.scl | Leo de Vries 35/72 Through-Transposing-Tonality 17 tone scale
 v___2_n_19_class_5_class14_ 19-53.scl | 19 out of 53-tET by Larry H. Hanson, 1978
 v___2_n_19_class_5_class14_ temp19k10.scl | Chain of 19 minor thirds tempered by 1/10 kleisma
 v___2_n_19_class_5_class14_ temp19k3.scl | Chain of 19 minor thirds tempered by 1/3 kleisma
 v___2_n_19_class_5_class14_ temp19k4.scl | Chain of 19 minor thirds tempered by 1/4 kleisma
 v___2_n_19_class_5_class14_ temp19k5.scl | Chain of 19 minor thirds tempered by 1/5 kleisma
 v___2_n_19_class_5_class14_ temp19k6.scl | Chain of 19 minor thirds tempered by 1/6 kleisma
 v___2_n_19_class_5_class14_ temp19k7.scl | Chain of 19 minor thirds tempered by 1/7 kleisma
 v___2_n_19_class_5_class14_ temp19k8.scl | Chain of 19 minor thirds tempered by 1/8 kleisma
 v___2_n_19_class_5_class14_ temp19k9.scl | Chain of 19 minor thirds tempered by 1/9 kleisma
 v___2_n_19_class_6_class13_ temp19lst.scl | Cycle of 19 least squares thirds 5/4^5 = 3/2
 v___2_n_19_class_6_class13_ temp19lst2.scl | Cycle of 19 least squares thirds 5/4, 3/2 (5), 6/5 (4)
 v___2_n_19_class_6_class13_ temp19d5.scl | Cycle of 19 thirds tempered by 1/5 small diesis. Third = 3\5
 v___2_n_19_class_8_class11_ 19-31.scl | 19 out of 31-tET, meantone Gb-B#
 v___2_n_19_class_8_class11_ 19-50.scl | 19 out of 50-tET, meantone Gb-B#
 v___2_n_19_class_8_class11_ kornerup.scl | Kornerup's temperament with fifth of (15 - sqrt 5) / 22 octaves
 v___2_n_19_class_8_class11_ lucy_19.scl | Lucy's 19-tone scale
 v___2_n_19_class_8_class11_ mean14_19.scl | 19 of 3/14-comma meantone scale
 v___2_n_19_class_8_class11_ mean17_19.scl | 4/17-comma meantone scale, least squares error of 5/4 and 3/2
 v___2_n_19_class_8_class11_ mean2sev_19.scl | 19 of 2/7-comma meantone scale
 v___2_n_19_class_8_class11_ mean9_19.scl | 19 of 2/9-comma meantone scale
 v___2_n_19_class_8_class11_ meaneb472_19.scl | Beating of 5/4 = twice 3/2 same, 19 tones
 v___2_n_19_class_8_class11_ meaneb732_19.scl | Beating of 3/2 = twice 6/5 same, 19 tones
 v___2_n_19_class_8_class11_ meanfifth_19.scl | 19 of 1/5-comma mean-tone scale
