basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3  4

 [0,1,4,11,14] 	D = 5.7695
 [0,10,15,23,25] 	D = 3.0330
 [0,11,15,22,25] 	D = 2.9349
 [0,1,5,15,26] 	D = 4.4018
 [0,11,16,26,37] 	D = 2.2204
 [0,2,5,15,25] 	D = 4.6461
 [0,1,4,14,23] 	D = 4.8132
 [0,10,15,25,35] 	D = 2.3475
 [0,11,15,25,34] 	D = 2.4487
 [0,3,5,13,14] 	D = 6.1560
 [0,2,4,11,13] 	D = 6.2174
 [0,3,5,14,25] 	D = 4.8463
 [0,2,4,13,23] 	D = 5.1604
 [0,1,3,10,11] 	D = 6.9237
 [0,1,3,11,22] 	D = 5.7085
 [0,9,14,22,23] 	D = 3.7312
 [0,10,14,21,23] 	D = 3.4873
 [0,9,14,23,34] 	D = 2.7183
 [0,10,14,23,33] 	D = 2.7479
 [0,11,14,21,22] 	D = 4.1610
 [0,11,14,22,33] 	D = 3.2217
 [0,5,13,14,15] 	D = 5.8525
 [0,4,11,13,14] 	D = 5.5230
 [0,5,14,25,27] 	D = 3.3919
 [0,4,13,23,26] 	D = 3.0926
 [0,3,10,11,13] 	D = 5.9585
 [0,3,11,22,25] 	D = 3.4576
 [0,5,13,15,26] 	D = 4.0241
 [0,4,11,14,25] 	D = 3.7933
 [0,5,14,15,25] 	D = 4.3077
 [0,4,13,14,23] 	D = 4.3093
 [0,3,10,13,23] 	D = 4.3587
 [0,3,11,13,22] 	D = 4.5729
 [0,5,15,25,26] 	D = 3.7635
 [0,4,14,23,25] 	D = 3.2773
 [0,5,15,26,37] 	D = 2.6350
 [0,4,14,25,35] 	D = 2.8159
 [0,3,13,22,23] 	D = 4.2889
 [0,3,13,23,34] 	D = 3.5031
 [0,2,9,10,11] 	D = 6.8587
 [0,2,10,21,23] 	D = 4.3079
 [0,2,9,11,22] 	D = 5.1138
 [0,2,10,11,21] 	D = 5.3301
 [0,2,11,21,22] 	D = 4.9088
 [0,2,11,22,33] 	D = 3.9764
 [0,7,8,9,10] 	D = 7.6485
 [0,8,19,21,22] 	D = 4.1650
 [0,7,9,20,22] 	D = 4.4071
 [0,8,9,19,22] 	D = 4.2384
 [0,9,19,20,22] 	D = 4.2990
 [0,9,20,31,34] 	D = 2.5644
 [0,7,8,10,21] 	D = 5.4217
 [0,8,19,22,33] 	D = 2.6920
 [0,7,9,10,20] 	D = 5.5773
 [0,8,9,10,19] 	D = 5.8149
 [0,9,19,22,32] 	D = 2.7162
 [0,9,20,22,31] 	D = 3.2930
 [0,7,10,20,21] 	D = 4.6804
 [0,8,10,19,21] 	D = 4.4179
 [0,7,10,21,32] 	D = 3.2559
 [0,8,10,21,31] 	D = 3.6691
 [0,9,10,19,20] 	D = 5.0785
 [0,9,10,20,31] 	D = 4.1390
 [0,10,19,20,21] 	D = 5.0115
 [0,10,20,31,33] 	D = 2.8883
 [0,10,19,21,32] 	D = 3.2331
 [0,10,20,21,31] 	D = 3.9012
 [0,10,21,31,32] 	D = 3.3163
 [0,10,21,32,43] 	D = 2.6192

min, max, mean, stdev:
  2.2077  9.7961  4.3529  1.3849

Now computing dissonance for the inverse form:
S =

  0  2  3  4  5

 [0,2,3,4,5] 	D = 9.8131
 [0,10,13,14,15] 	D = 5.8974
 [0,3,14,16,17] 	D = 5.5165
 [0,1,10,14,15] 	D = 5.5315
 [0,9,11,13,14] 	D = 5.7995
 [0,11,21,25,26] 	D = 3.2540
 [0,2,4,15,17] 	D = 6.0905
 [0,10,14,25,27] 	D = 3.3250
 [0,3,4,14,17] 	D = 5.7222
 [0,1,2,10,15] 	D = 6.3914
 [0,9,13,23,26] 	D = 3.0849
 [0,11,13,21,26] 	D = 3.6932
 [0,4,14,15,17] 	D = 5.3718
 [0,2,10,13,15] 	D = 5.4277
 [0,4,15,26,29] 	D = 3.0690
 [0,2,13,22,27] 	D = 3.8630
 [0,1,9,11,14] 	D = 5.5880
 [0,1,11,21,26] 	D = 3.9424
 [0,8,10,11,13] 	D = 6.2008
 [0,10,20,23,25] 	D = 3.1209
 [0,8,11,22,25] 	D = 3.4107
 [0,10,11,20,25] 	D = 4.0154
 [0,11,20,22,25] 	D = 3.2240
 [0,11,22,32,37] 	D = 2.2113
 [0,2,3,5,16] 	D = 7.2830
 [0,10,13,15,26] 	D = 3.9916
 [0,3,14,17,28] 	D = 3.8550
 [0,1,10,15,26] 	D = 3.9974
 [0,9,11,14,25] 	D = 3.9826
 [0,11,21,26,37] 	D = 2.2317
 [0,2,4,5,15] 	D = 7.1724
 [0,10,14,15,25] 	D = 4.0360
 [0,3,4,5,14] 	D = 7.1979
 [0,1,2,3,10] 	D = 8.3469
 [0,9,13,14,23] 	D = 4.0911
 [0,11,13,14,21] 	D = 4.9462
 [0,4,14,17,27] 	D = 3.7399
 [0,2,10,15,25] 	D = 3.9470
 [0,4,15,17,26] 	D = 3.9471
 [0,2,13,15,22] 	D = 4.8151
 [0,1,9,14,23] 	D = 4.1370
 [0,1,11,14,21] 	D = 4.8237
 [0,8,10,13,23] 	D = 4.2490
 [0,10,20,25,35] 	D = 2.2734
 [0,8,11,13,22] 	D = 4.3108
 [0,10,11,13,20] 	D = 5.1815
 [0,11,20,25,34] 	D = 2.4223
 [0,11,22,25,32] 	D = 2.6143
 [0,2,5,15,16] 	D = 5.9804
 [0,10,15,25,26] 	D = 3.4144
 [0,3,5,14,16] 	D = 5.6523
 [0,1,3,10,14] 	D = 6.1523
 [0,9,14,23,25] 	D = 2.9719
 [0,11,14,21,25] 	D = 3.2228
 [0,2,5,16,27] 	D = 4.5551
 [0,10,15,26,37] 	D = 2.4582
 [0,3,5,16,26] 	D = 4.5008
 [0,1,3,14,22] 	D = 5.6211
 [0,9,14,25,35] 	D = 2.3505
 [0,11,14,25,33] 	D = 2.9955
 [0,4,5,14,15] 	D = 5.8919
 [0,2,3,10,13] 	D = 6.3712
 [0,4,5,15,26] 	D = 4.5857
 [0,2,3,13,22] 	D = 5.7538
 [0,1,2,9,11] 	D = 6.9035
 [0,1,2,11,21] 	D = 6.1316
 [0,8,13,22,23] 	D = 3.6748
 [0,10,13,20,23] 	D = 3.5893
 [0,8,13,23,34] 	D = 2.7195
 [0,10,13,23,32] 	D = 3.0871
 [0,11,13,20,22] 	D = 4.0884
 [0,11,13,22,32] 	D = 3.4832
 [0,5,14,15,16] 	D = 5.6845
 [0,3,10,13,14] 	D = 5.5062
 [0,5,15,26,28] 	D = 3.0998
 [0,3,13,22,26] 	D = 3.3549
 [0,2,9,11,13] 	D = 5.7855
 [0,2,11,21,25] 	D = 3.5817
 [0,5,14,16,27] 	D = 3.8892
 [0,3,10,14,25] 	D = 3.8799
 [0,5,15,16,26] 	D = 4.1544
 [0,3,13,14,22] 	D = 4.8047
 [0,2,9,13,23] 	D = 4.2338
 [0,2,11,13,21] 	D = 4.9246
 [0,5,16,26,27] 	D = 3.6304
 [0,3,14,22,25] 	D = 3.4801
 [0,5,16,27,38] 	D = 2.7241
 [0,3,14,25,34] 	D = 3.3903
 [0,2,13,21,23] 	D = 4.1367
 [0,2,13,23,33] 	D = 3.8015
 [0,1,8,10,11] 	D = 6.4460
 [0,1,10,20,23] 	D = 4.0808
 [0,1,8,11,22] 	D = 4.7263
 [0,1,10,11,20] 	D = 5.4156
 [0,1,11,20,22] 	D = 4.4929
 [0,1,11,22,32] 	D = 3.8978
 [0,7,9,10,11] 	D = 6.9038
 [0,9,19,22,23] 	D = 3.5244
 [0,7,10,21,23] 	D = 3.7320
 [0,9,10,19,23] 	D = 3.9321
 [0,10,19,21,23] 	D = 3.4855
 [0,10,21,31,35] 	D = 2.2359
 [0,7,9,11,22] 	D = 4.7898
 [0,9,19,23,34] 	D = 2.3374
 [0,7,10,11,21] 	D = 4.8635
 [0,9,10,11,19] 	D = 5.6963
 [0,10,19,23,33] 	D = 2.4135
 [0,10,21,23,31] 	D = 3.0984
 [0,7,11,21,22] 	D = 4.0730
 [0,9,11,19,22] 	D = 3.9729
 [0,7,11,22,33] 	D = 2.9612
 [0,9,11,22,31] 	D = 3.7336
 [0,10,11,19,21] 	D = 4.4858
 [0,10,11,21,31] 	D = 4.1422
 [0,11,19,21,22] 	D = 4.0860
 [0,11,21,31,34] 	D = 2.6094
 [0,11,19,22,33] 	D = 2.8141
 [0,11,21,22,31] 	D = 3.6760
 [0,11,22,31,33] 	D = 2.8617
 [0,11,22,33,43] 	D = 2.4639

min, max, mean, stdev:
  2.2113  9.8131  4.3277  1.4011

------------------------------------------------------------
Now computing dissonance for class ID=3 :
S =

  0  1  2  3  6

 [0,1,2,3,6] 	D = 9.0466
 [0,11,13,14,17] 	D = 5.2001
 [0,2,13,15,18] 	D = 5.0366
 [0,1,11,14,17] 	D = 4.9065
 [0,10,11,13,16] 	D = 5.2300
 [0,11,22,25,28] 	D = 2.7003
 [0,1,3,14,18] 	D = 6.0180
 [0,11,14,25,29] 	D = 3.2439
 [0,2,3,13,18] 	D = 5.9267
 [0,1,2,11,17] 	D = 6.1590
 [0,10,13,23,28] 	D = 3.2859
 [0,11,13,22,28] 	D = 3.5629
 [0,3,13,14,18] 	D = 5.1448
 [0,2,11,13,17] 	D = 5.1230
 [0,3,14,25,30] 	D = 3.3312
 [0,2,13,23,29] 	D = 3.8105
 [0,1,10,11,16] 	D = 5.4014
 [0,1,11,22,28] 	D = 4.0177
 [0,9,10,11,15] 	D = 5.8796
 [0,10,21,23,27] 	D = 3.2272
 [0,9,11,22,27] 	D = 3.8537
 [0,10,11,21,27] 	D = 4.1387
 [0,11,21,22,27] 	D = 3.6273
 [0,11,22,33,39] 	D = 2.4995
 [0,1,2,6,15] 	D = 6.6184
 [0,11,13,17,26] 	D = 3.7420
 [0,2,13,18,27] 	D = 3.8977
 [0,1,11,17,26] 	D = 3.8201
 [0,10,11,16,25] 	D = 3.8391
 [0,11,22,28,37] 	D = 2.2300
 [0,1,3,6,14] 	D = 6.6788
 [0,11,14,17,25] 	D = 3.5263
 [0,2,3,6,13] 	D = 6.7142
 [0,1,2,5,11] 	D = 7.1942
 [0,10,13,16,23] 	D = 3.5193
 [0,11,13,16,22] 	D = 3.8985
 [0,3,13,18,26] 	D = 3.7541
 [0,2,11,17,25] 	D = 3.8298
 [0,3,14,18,25] 	D = 3.7269
 [0,2,13,17,23] 	D = 4.1116
 [0,1,10,16,23] 	D = 3.9480
 [0,1,11,16,22] 	D = 4.2401
 [0,9,10,15,23] 	D = 4.1416
 [0,10,21,27,35] 	D = 2.4601
 [0,9,11,15,22] 	D = 4.0227
 [0,10,11,15,21] 	D = 4.4147
 [0,11,21,27,34] 	D = 2.5279
 [0,11,22,27,33] 	D = 2.6933
 [0,1,6,14,15] 	D = 5.5853
 [0,11,17,25,26] 	D = 3.3524
 [0,2,6,13,15] 	D = 5.2980
 [0,1,5,11,14] 	D = 5.3800
 [0,10,16,23,25] 	D = 2.8261
 [0,11,16,22,25] 	D = 2.8093
 [0,1,6,15,26] 	D = 4.2516
 [0,11,17,26,37] 	D = 2.4386
 [0,2,6,15,25] 	D = 4.0262
 [0,1,5,14,23] 	D = 4.5440
 [0,10,16,25,35] 	D = 2.0597
 [0,11,16,25,34] 	D = 2.4069
 [0,3,6,13,14] 	D = 5.6760
 [0,2,5,11,13] 	D = 5.8718
 [0,3,6,14,25] 	D = 4.2586
 [0,2,5,13,23] 	D = 4.9353
 [0,1,4,10,11] 	D = 6.3518
 [0,1,4,11,22] 	D = 5.2603
 [0,9,15,22,23] 	D = 3.6005
 [0,10,15,21,23] 	D = 3.4405
 [0,9,15,23,34] 	D = 2.5040
 [0,10,15,23,33] 	D = 2.7881
 [0,11,15,21,22] 	D = 3.8814
 [0,11,15,22,33] 	D = 3.0290
 [0,6,13,14,15] 	D = 5.5945
 [0,5,11,13,14] 	D = 5.3871
 [0,6,14,25,27] 	D = 3.1729
 [0,5,13,23,26] 	D = 3.2292
 [0,4,10,11,13] 	D = 5.5826
 [0,4,11,22,25] 	D = 3.3624
 [0,6,13,15,26] 	D = 3.8891
 [0,5,11,14,25] 	D = 3.7822
 [0,6,14,15,25] 	D = 3.9421
 [0,5,13,14,23] 	D = 4.2938
 [0,4,10,13,23] 	D = 3.8693
 [0,4,11,13,22] 	D = 4.3208
 [0,6,15,25,26] 	D = 3.5209
 [0,5,14,23,25] 	D = 3.3866
 [0,6,15,26,37] 	D = 2.5717
