"Lower","Upper","Triadic HE","ct","pmax","triad"
890,1110,0.970524444603589,5,0.738681160746344,"6/10/19"
960,10,0.9711093178901,5,0.726907254693327,"4/7/7"
970,240,0.975053096458738,5,0.726693453391485,"4/7/8"
170,850,0.975526250846531,5,0.740690663102749,"10/11/18"
310,1050,0.977754661285336,5,0.69919753390628,"5/6/11"
180,920,0.980148037910328,5,0.692907150859315,"9/10/17"
60,160,0.981082541605607,3,0.671746108179553,"20/21/23"
70,620,0.981157370893762,6,0.677605431233168,"18/19/27"
70,70,0.983494057231716,4,0.614697252556829,"20/21/22"
210,1150,0.984677617823112,4,0.615548969990344,"15/17/33"
820,1090,0.985570147484089,5,0.712555727924196,"5/8/15"
160,380,0.989910494840837,6,0.751165708941207,"11/12/15"
750,390,0.990896051707829,5,0.651046306000679,"13/20/25"
250,740,0.991141205639475,6,0.741344911718545,"13/15/23"
1050,950,0.996990788551153,6,0.696675589718397,"6/11/19"
390,1110,1.00457079704652,7,0.759865504640657,"8/10/19"
150,500,1.00559376867307,7,0.735061894029631,"11/12/16"
60,330,1.0060845680117,4,0.693763721703749,"19/20/24"
1140,120,1.01009263015433,3,0.59126985434662,"13/25/27"
650,610,1.01117774658587,4,0.565744460404132,"13/19/27"
840,990,1.01216834271959,7,0.653676499415005,"8/13/23"
170,750,1.01429154234438,7,0.716985510241607,"10/11/17"
390,700,1.0145224410557,6,0.730019353673435,"8/10/15"
580,610,1.01624669022885,5,0.69468113315704,"5/7/10"
610,180,1.01650748005211,4,0.55770944723644,"7/10/11"
550,280,1.01782042068093,4,0.598817352781562,"8/11/13"
1010,890,1.01788692015551,5,0.640588289365141,"5/9/15"
1140,390,1.01793493488783,5,0.635497576183546,"12/23/29"
820,1200,1.02246095315029,5,0.685462196622955,"5/8/16"
1070,990,1.02360345929832,7,0.745227879153032,"7/13/23"
70,780,1.02553134526993,6,0.719464664797135,"17/18/28"
270,940,1.02594178394414,5,0.680157027893698,"6/7/12"
70,1170,1.02630303302395,5,0.616209669758908,"16/17/33"
1140,920,1.03411386765496,5,0.711437189945651,"11/21/36"
990,1150,1.03417406188041,6,0.714615310200251,"9/16/31"
750,1200,1.03440854485751,4,0.517665306334792,"11/17/34"
250,580,1.03481990173506,6,0.740215619277254,"13/15/21"
70,680,1.03603776421954,6,0.656948642711448,"18/19/28"
210,180,1.03880546130236,5,0.651567747416306,"8/9/10"
1070,560,1.04005751527745,7,0.74560247574119,"7/13/18"
160,420,1.04010028470811,6,0.725406319020349,"10/11/14"
320,140,1.04103478018177,8,0.750471641132794,"10/12/13"
