*no_scale_specified
5 2 5  v___2_n__3_class_1_class_2_ Raga Sarvasri, Warao tritonic: South America
3 1 1 3 1 3 1 3 1 1 3 1  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/3-comma positive)
1 3 3 1 3 1 3 1 3 3 1 3  v___2_n_12_class_5_class_7_ Meantone Chromatic (4/9-comma)
3 2 2 3 2 3 2 3 2 2 3 2  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/14-comma positive)
2 3 3 2 3 2 3 2 3 3 2 3  v___2_n_12_class_5_class_7_ Meantone Chromatic (53/220-comma)
3 2 3 2 3 2 3 3 2 3 2 3  v___2_n_12_class_5_class_7_ Genus diatonico-chromaticum
4 3 3 4 3 4 3 4 3 3 4 3  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/44-comma positive)
3 4 4 3 4 3 4 3 4 4 3 4  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/5-comma)
2 5 5 2 5 2 5 2 5 5 2 5  v___2_n_12_class_5_class_7_ Meantone Chromatic (2/5-comma)
5 3 3 5 3 5 3 5 3 3 5 3  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/9-comma positive)
3 5 5 3 5 3 5 3 5 5 3 5  v___2_n_12_class_5_class_7_ Meantone Chromatic (2/7-comma)
5 4 4 5 4 5 4 5 4 4 5 4  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/315-comma)
4 5 5 4 5 4 5 4 5 5 4 5  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/6-comma)
5 4 5 4 5 5 4 5 4 5 4 5  v___2_n_12_class_5_class_7_ Sauveur's Musician's System
7 4 4 7 4 7 4 7 4 4 7 4  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/8-comma positive)
6 5 5 6 5 6 5 6 5 5 6 5  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/52-comma)
5 6 6 5 6 5 6 5 6 6 5 6  v___2_n_12_class_5_class_7_ Meantone Chromatic (4/25-comma)
